Word,Type,Sentiment
A-film,n,++
Apocalyps,n,--
B-film,n,--
Brabander,n,+
CFK,n,-
Christuskop,n,-
Fortuna,n,+
Godslam,n,--
Hydra,n,-
Januskop,n,-
Odysseus,n,+
Redder,n,++
St.-,n,+
Verlichting,n,+
aai,n,+
aanbaksel,n,--
aanbevelen,v,++
aanbidden,v,+
aanbidder,n,++
aanbieden,v,+
aanbranden,v,-
aandoening,n,-
aandurven,v,+
aanfluiting,n,-
aangeklaagde,n,--
aangenaam,a,++
aangeslagen,a,-
aangeven,v,+
aanhankelijk,a,-
aanhoudend,a,-
aanhouder,n,+
aankleding,n,+
aankloppen,v,+
aanleg,n,++
aanmatigend,a,--
aanmodderen,v,--
aanmoedigen,v,+
aanmoediging,n,+
aanpassingsvermogen,n,+
aanpezen,v,+
aanpoten,v,+
aanranding,n,-
aanschaffen,v,+
aansluiten,v,+
aansporen,v,+
aanspraak,n,+
aansprakelijk,a,-
aanstelling,n,+
aanstichter,n,-
aanstoker,n,-
aanstoot,n,-
aanstootgevend,a,--
aantoonbaar,a,++
aantrekkelijk,a,++
aantrekken,v,+
aantrekkingskracht,n,+
aanvaard,a,++
aanvaarden,v,+
aanval,n,-
aanvaller,n,-
aanvechtbaar,a,-
aanvulling,n,+
aanwezig,a,+
aanwijsbaar,a,+
aanzetten,v,-
aanzien,n,++
aanzienlijk,a,+
aardig,a,++
aardigheid,n,++
aas,n,-
abdiceren,v,-
aberratie,n,-
abnormaal,a,+
abnormaliteit,n,--
abominabel,a,++
absurd,a,--
absurditeit,n,--
academisme,n,-
accentueren,v,+
accepteren,v,+
accommoderen,v,+
accuraat,a,++
accuratesse,n,++
achtbaar,a,++
achteloos,a,--
achtenswaard,a,++
achtenswaardig,a,+
achteraanrennen,v,-
achterbaks,a,--
achterblijfster,n,-
achterblijver,n,-
achterdocht,n,--
achterdochtig,a,--
achterhouden,v,--
achterlijk,a,--
achterlijke,n,--
achternazitten,v,-
achterstand,n,-
