ID,Text,Valence,Arousal,Dominance,Category
0,Een halve dag vliegt ie rond mij en nu is hij moe 😉 Oranje tipje man😍en ja deze planten plus de pinksterbloemen speciaal voor hen. @LINK,0.610476643,0.278393761,0.502864655,joy
1,Pittige dame!! Met wie??Uh met de Volkskrant😄Echt absoluut 'n vrouw naar mijn hart! Altijd al geweest! Die lach! Heerlijk! #adèlebloemendaal,0.890842117,0.863853949,0.80892445,love
2,@USER @USER @USER Lees nu met een bakkie koffie precies het zelfde😄boek!,0.678733588,0.491347681,0.583500251,neutral
3,@USER Rondreis😃Tel Aviv Jeruzalem Haifa Dode Zee etc. Dankje 😃,0.67645464,0.363841806,0.476351326,neutral
4,@USER Maandagmorgen en extra druk😣Dat is nu voordeel van niet meer werken op maandag al dit nieuws lezen!,0.553363703,0.550660537,0.732407821,anger
5,Zit in 2 dagen al op 19 uur werk.💪🏻 Vanavond vroeg naar bed dat probeer ik. Morgen maar een half uurtje later beginnen😉vakantie in 15 week,0.47904873,0.358491672,0.492824917,joy
6,@USER @USER @USER Zeker gekregen😀Aflevering van Baantjer gekeken met rechercheur de Cock met C-o-c-k😂✌🏻,0.74695282,0.795517135,0.954448688,joy
7,@USER Echt...zweet en shag..en dat een hele dag😡Je zal ermee op kantoor zitten😝,0.074636566,0.754538813,0.73234931,anger
8,@USER @USER @USER D66Pechtold zei 1e BELANGRIJKSTE!poging😂dream on Pechtold gelul id ruimte! PVV id 2e grtste!wat e kleuterklasje.pesten uitsluiten z nie 2017,0.395079009,0.838520694,0.768224706,anger
9,@USER Je gaat m.i een beetje op een struisvogel lijken😳kop in het zand😉sommige risico's MOET je niet willen,0.395845031,0.509096803,0.760484766,neutral
10,@USER  @USER @USER @USER @USER @USER lachen gieren en b😂rullen dus,0.682848338,0.693552577,0.632504081,joy
11,@USER heeft mijn pakket om 17.02 bezorgd alleen niet bij mij😡leuk vakantiekrachten nu moet ik wachten!waar is mijn pakje,0.069374618,0.626346909,0.647727914,anger
12,Jaaa zwart leren handgreepjes voor mijn luikje😍Met dank aan… @LINK,0.856715098,0.736397563,0.640163844,joy
13,@USER @USER @USER HAHAHAHAHA doe maar niet xx wel leuk dat je m'n account bekijkt😂Beetje jammer dat je me niet meer volgt,0.498867504,0.955441759,0.728884783,joy
14,Taxi besteld. Maar es ff kijken of d’r beetje volk op af komt😂met Titia Kip @LINK,0.521766469,0.483220162,0.222028369,joy
15,Na premiestijging ziektekosten en pensioen dit jaar dus volgend jaar alweer inkomensdaling😠Stomme nullijn😡@USER @USER @USER,0.150416202,0.697961396,0.58482954,anger
16,@USER Goedemorgen Eddy😊fijne dag en weekend! Groetjes! @LINK,0.730330182,0.582873347,0.493289379,joy
17,MEGA véél slagroomschnitten bakken😋Onze banketbakkers zijn goed bezig😆💪🏻💪🏻 #slagroomschnitten #voormaar€5 #bergenvoordeelweken @LINK,0.563332276,0.428407396,0.497139252,joy
18,@USER Zullen we dan gelijk een bosje brandnetels bij die zorgverzekeraar😠afleveren?,0.19410005,0.563073807,0.585933874,anger
19,@LINK Ik moest lachen😂De reden dat ik niks met Maduro had in1 bericht #Amsterdamsearrogantie#Nikslatenzien #bestemaarweer,0.377826356,0.749246919,0.833499768,anger
20,@USER OMD😄Vrouwtje moet heel hard lachen hierom😏Jullie vrouwtje ook? Ik ben net  in mijn zwembadje gegaan was een slak ingekomen is verdronken😪,0.712087063,0.864125835,0.528169427,joy
21,@USER @USER Zoiets😂ga toch de vlag vast ff uithangen 💪🙏,0.60279008,0.647424151,0.682590371,joy
22,@USER ZWARTgallig🤔er zijn ook nog andere kleuren hoor. paars groen blauw,0.244327044,0.690231518,0.634948531,anger
23,@USER Sterkte😱normaal een thuiswerkdag op vrijdag maar vandaag een telco in Utrecht🤔weer zo’n dag dat een trein uitvalt en het zeer koud is op het station😱nu weer warm in een trein,0.161715336,0.42902635,0.307558812,anger
24,@USER @USER lol😂nee muts ik wist niet hoe dat allemaal werkte he hier in limbo hebben we geen metro😱,0.407000066,0.84319386,0.58334122,joy
25,@USER @USER ff zeiken😉bielzen zijn van hout. Dit zijn dwarsliggers. Het nummer is het batch nummer😊,0.381802577,0.167390333,0.827295533,neutral
26,@USER Ja ik heb óók gedacht aan wat ik bij ehbo hebt geleerd 👍🏼 dankjewel liefie voor het méédenken😊Xx,0.57185248,0.627236963,0.553917748,joy
27,Moe van je ogen ? #bovenooglidcorrectie daar wordt je snel blij van😊020-5300393 €850 info@USER.nl @LINK,0.490376078,0.453785764,0.389461205,neutral
28,Wat een topavond en leuk optreden bij club 19 nog nooit zoveel mannen bij elkaar gezien hihi😁Ronald Levering Ruud... @LINK,0.866056401,0.639567999,0.572575176,joy
29,12 mei😉dag van de verpleging🙃,0.368521182,0.170159701,0.314086528,joy
30,@USER Ik weet dat mijn maatje het druk heeft want is stil maar vraag het toch maar☺️is het nieuw muzikaal kindje geboren ? #Benieuwd🎶,0.492613263,0.506235212,0.341864048,neutral
31,@USER Thanxx!! Dit is de broodvariant😍Gemaakt door een pasticceria hier Rivoire.,0.815296313,0.72542638,0.6273751,joy
32,Duizenden afgewezen asielzoekers toch in Nederland @LINK Ja Rutte😁justitie&amp;immigratiedienst  waar???,0.330434859,0.751726972,0.789125176,anger
33,Gm de luiken weer open😆Vannacht als opco weer aanwezig tbv incidentenafhandeling in het teamgebied. Goed weekend👋,0.617706305,0.361337016,0.479304144,joy
34,Zo lekker leesvoer😀Ga me niet vervelen. @LINK,0.756434678,0.42878207,0.665333435,joy
35,@USER @USER Hier goed😎En met jullie..???,0.842849679,0.653988267,0.656137752,joy
36,@USER Goeiemorgen en dankjewel😁jij ook!!☕️,0.679622631,0.685152585,0.587370559,joy
37,@USER Mss kan ik je even opvrolijken met uitgelekte spoilers van seizoen 8😉@LINK,0.596444896,0.166242408,0.35593142,joy
38,Ik durf de andere komkommer en augurk er nog niet bij te zetten😱Misschien over een paar dagen… @LINK,0.300532898,0.628920346,0.200737756,fear
39,Het ene moment vind je een portemonnee op straat en brengt deze naar de👮het volgende moment krijg je een dikke🖕van een man🙁tja bedankt zeker,0.05887378,0.445448047,0.066278169,sadness
40,@USER Goedemorgen Coen. Klinkt goed. Fijne dag😀fijn weekend😎,0.691013014,0.271940179,0.398906946,joy
41,@USER @USER Werkse😊collega's🤗,0.631615349,0.249692732,0.377697193,joy
42,Voor die duizenden😏mensen op het #malieveld ook dit is #Islam @LINK,0.274580481,0.363375094,0.701872962,anger
43,@LINK tijd dat Pablo Escobar in Colombia regeerde is voorgoed voorbij,0.953963748,0.459547854,0.731907085,joy
44,@USER Lekker hoor! Heerlijk uit eigen tuin. Er volgt vanzelf meer;)) Moestuinen houden niet op met produceren😆Smakelijk!,0.838244684,0.751351879,0.543736732,joy
45,Over #fakenews gesproken als dit ooit als app released gaat worden😳Creepy shit stemmen nabootsen met max 1 min aan bronsmateriaal @LINK,0.34353114,0.536682895,0.175946653,fear
46,@USER @USER Goede morgen/middag Kim😘en Jac😉fijne vrijdag🤗,0.701768113,0.072903818,0.299103965,joy
47,@USER Really😤Niet normaal,0.148403273,0.731770181,0.536885111,anger
48,@LINK zorgen dat malware genaamd Adylkuzz computers binnendringt.,0.252491224,0.188114346,0.293074087,neutral
49,@USER Ja ze moeten Wijnaldum nooit meer uitnodigen😜die is slecht!!,0.354729022,0.797283274,0.956522042,anger
50,Nu online @USER @USER @USER Tess 2312. Ik zit er klaar voor...im ready☺️I like men with respect! @LINK,0.597615431,0.522703311,0.544289836,joy
51,@USER @USER Hahaha mijne is lang zo🤔gewoon toevallig toch,0.297905741,0.377518154,0.202958474,neutral
52,Belgische Syriëstrijder kon opleiding als treinbestuurder volgen😂waarschijnlijk wel  reeds lid van de tjeven-vakbond @LINK,0.352986894,0.722772699,0.699303275,anger
53,@USER @USER @USER @USER @USER U😂beiden snapt dan niks van 'gevoel'. -- niks 'ratio' - het gaat juist om die 'grens' in dat gevoelsgebied op het gebied van omgang en sex.,0.437853539,0.408968548,0.865154572,anger
54,@USER Wat lief😊wens jou ook een mooi weekend Bertien👋🏼,0.740459324,0.301377819,0.297007864,joy
55,@USER Oranjetipje😊Je was natuurlijk in de war...  Had oranje moeten zijn. 😁😁😁,0.528566974,0.367543962,0.808112631,joy
56,@USER Bij mijn kleinzoon in groep 3 moeten ze ook zo verkleed komen😳Wie bedenkt zoiets!?🤢,0.346760158,0.683478066,0.231764309,anger
57,@USER PVV'ers zijn een ras😃dit is discriminatie,0.446762537,0.294750462,0.681016812,anger
58,@USER ben zelf heel bang om te vliegen dus zou ook niet mee grinniken😂Blij dat ik hier op de bank zit😎,0.498614836,0.617852945,0.204792223,joy
59,@USER waarvoor moeten de mensen kijken?? Getuigenis of het hoofddoek debat. Ik zal wel naar de herhalingen zien op tv😉Jongeheer,0.354058188,0.645810329,0.807005003,anger
60,@USER Begon net ook in Utrecht tijdens mijn wandeling van het station naar mijn werk😭nu gelukkig weer koffie @LINK,0.308711104,0.487039576,0.233579497,sadness
61,@USER Verhip Annette dat wist ik niet.Zie het nu.Gebruik meer mobiel dan laptop.Dank voor het melden😀en ook bedankt voor je reactie op m'n blog😘,0.597723412,0.339783145,0.357883703,joy
62,Slechts één van tienduizenden😔Na één jaar onschuldig te hebben vastgezeten wordt hij alsnog vrijgelaten. Kemalist vader echtgenoot.,0.167545297,0.452162612,0.130384836,sadness
63,Boom weg😩gebeld met de gemeente Zaanstad en die zeiden een ingescheurde takken ( geen reden meer aan). Zonde de boom zag er nog goed uit! @LINK,0.216966583,0.5774408,0.232133918,sadness
64,@USER Had hem gemist voor middagdutje dan........ssst😊Mooi hoor😊,0.643508728,0.310136426,0.47364687,neutral
65,Het enige wat ik vraag is jou liefde ik hou van jou zoals je bent😍@LINK,0.744534181,0.512941701,0.597819896,love
66,@USER plaatsje te laag😉toch proficiat!😀,0.563372969,0.483910239,0.515963726,joy
67,7 2.0: nooit echt gesproken ma je lijkt me super aardig als er wat is je weet me te vinden😊laten we vaker gaan praten!,0.595186538,0.469325605,0.486023163,joy
68,@USER K ben net bijna flauwgevallen😩en K heb keihard gejankt net😭,0.061732215,0.728801824,0.240867196,sadness
69,Hier word keihard gewerkt om vanaf Dinsdag weer een prachtige salon te hebben😀Dank aan Peter… @LINK,0.554943569,0.306704388,0.51574603,joy
70,@USER Klopt helaas is de zon met de noordezon vertrokken😉heb de luifels en stoelkussens ook net naar binnen gehaald denk dat de 🌧er zo aankomt😔,0.270649603,0.306813304,0.215235015,fear
71,@USER groeten aan de hele familie😘Nog altijd in mijn hart❤️,0.625250147,0.414002091,0.406448557,love
72,@USER @USER Haha nee maar dankje voor het aanbod😃ze hebben de letter denk ik ook hier bij AH😃😃,0.671584411,0.562633953,0.589051074,joy
73,@USER Ik weet hoe het werktals je ietsvan 3 weken terug wilt kijken of langer ist nogal veel gedruk😥Bedankt voor ongevraagd advies🖒,0.290772933,0.396010002,0.153652855,anger
74,@USER En je was er weer op z'n Miedema's bij. Gaatje zien. Hard werken. Gaatje vullen.  T😀P,0.79544157,0.625970979,0.746778069,joy
75,Belgen hebben 70 miljard euro(=174%van ons bnpmondiaal gemiddelde:98%) in belastingparadijzen staan😠@LINK via @USER,0.144195335,0.438534989,0.638526543,anger
76,@USER @USER Nou ik ben echt blij dat je Engels in Nederlands voor mij vertaald😉Nu je bedje opzoeken...,0.277883829,0.292098036,0.693242062,anger
77,@USER @USER wat rot voor hem😯Bijna gediplomeerd en dan zo(niet)ontvangen worden.  Herken t ook nog uit 'werk-tijd'. Wat mij opviel-weet niet of dat nu nog zo is-: In de wijk-dus in eigen woonomgeving-werden mannelijke collega's vaker ge,0.169407361,0.344351942,0.162552067,sadness
78,Sony perst LP's😧vreemde hype😰alles wordt digitaal opgenomen😨Spotify is voor mij #1betere weergave door plaatsing speakers rondom 1mtr vrij😎,0.374946068,0.386374202,0.337962593,anger
