HR	NL	SL	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
natrag	_	osupel	0	0	0	0	0	0	0	0	0	0
abak, računaljka	telraam	abak	0	0	0	0	0	0	0	0	0	1
napustiti	in de steek laten	opustiti, zapustiti, prekiniti, prenehati	0	1	0	0	0	1	0	1	0	0
napušten	verlaten	opuščen, zapuščen, prekinjen, zavržen	0	1	1	0	0	1	0	1	0	0
napuštanje	verlatenheid	opustitev, zapustitev	0	1	1	0	0	1	0	1	1	0
smanjiti se, jenjavati, popustiti	_	popustiti	0	0	0	0	0	0	0	0	0	0
smanjenje, jenjavanje, popuštanje	_	popuščanje	0	0	0	0	0	0	0	0	0	0
Abba	abba	Abba	1	0	0	0	0	0	0	0	0	0
opat	abt	opat	0	0	0	0	0	0	0	0	0	1
skratiti	_	okrajšati	0	0	0	0	0	0	0	0	0	0
skraćenica, kratica	_	okrajšava	0	0	0	0	0	0	0	0	0	0
trbuh, abdomen	_	trebuh	0	0	0	0	0	0	0	0	0	0
trbušni	_	trebušen	0	0	0	0	0	0	0	0	0	0
otmica	ontvoering	ugrabitev	0	1	0	0	0	1	0	1	1	0
nenormalan, poremećen, abnormalan	afwijkend, abnormaal	napačen	0	1	0	0	0	0	0	0	0	0
aberacija, odstupanje	afwijking	aberacija, odstopanje	0	1	0	0	1	0	0	0	0	0
mirovanje, odgoda	_	odlog	0	0	0	0	0	0	0	0	0	0
osjećati gađenje, zgražati se, gnušati se, groziti se	verafschuwen	prezirati	0	1	1	0	1	1	0	0	0	0
odvratan, oduran, grozan, gnjusan	weerzinwekkend	zoprn, gnusen	0	1	1	0	1	1	0	0	0	0
pridržavati se, držati se	_	prenesti	0	0	0	0	0	0	0	0	0	0
sposobnost, mogućnost	mogelijkheid, vaardigheid	sposobnost, zmožnost	1	0	0	0	0	0	0	0	0	0
bijedan, prezren, ponižen	verachtelijk	beden, obupen, ponižen	0	1	0	0	1	0	0	0	0	0
amputacija, ablacija, odstranjenje	_	ablacija, odstranitev	0	0	0	0	0	0	0	0	0	0
u plamenu, gorući	_	goreti	0	0	0	0	0	0	0	0	0	0
nenormalan, abnormalan	abnormaal	nenormalen, neobičajen, nenavaden	0	1	0	0	1	0	0	0	0	0
na brodu, ukrcan	_	na krovu	0	0	0	0	0	0	0	0	0	0
prebivalište, dom	_	prebivališče, dom	0	0	0	0	0	0	0	0	0	0
ukinuti	afschaffen	ukiniti, odpraviti, razveljaviti	0	1	1	0	0	0	0	0	0	0
ukidanje	afschaffing	ukinitev, razveljavitev	0	1	0	0	0	0	0	0	0	0
odvratan, gnusan, užasan	afschuwelijk	gnusen, odvraten, grozen	0	1	0	0	1	1	0	0	0	0
čudovište, spodoba, monstrum	gruwel	gnusoba, ogabnost, gamad, golazen, gamat	0	1	1	0	1	1	0	0	0	0
iskonski, urođenički, izvorni	_	aboridžinski, staroselski	0	0	0	0	0	0	0	0	0	0
prekinuti, pobaciti	afgelasten, aborteren	prekiniti, splaviti	0	1	0	0	0	0	0	0	0	0
abortus, pobačaj	abortus	splav, izrodek	0	1	0	0	1	1	0	1	0	0
neuspio, jalov	vruchteloos	neuspešen, spodletel, ponesrečen	0	1	0	0	0	0	0	1	0	0
obilovati	_	obilen	0	0	0	0	0	0	0	0	0	0
gore naveden, ranije naveden, gore spomenut, ranije spomenut	bovenvermeld	zgoraj omenjen	1	0	0	0	0	0	0	0	0	0
abrazija, ogrebotina, istrošenost	schuring	odrgnina, praska	0	1	0	0	0	0	0	0	0	0
u inozemstvu, vani	_	v tujini	0	0	0	0	0	0	0	0	0	0
ukinuti, opozvati	afschaffen	odpraviti, razveljaviti, ukiniti, opustiti	0	1	0	0	0	0	0	0	0	0
nagao, iznenadan	abrupt	nenaden	0	0	0	0	0	0	0	0	1	0
naglo, iznenada	_	nenadno	0	0	0	0	0	0	0	0	0	0
gnojni čir, gnojna upala, apsces	abces	absces, ognojek	0	1	0	0	0	0	0	1	0	0
odsutnost, izostanak, nedostatak, izbivanje	afwezigheid	odsotnost, pomanjkanje	0	1	0	0	0	1	0	1	0	0
odsutan, neprisutan, nepostojeći	afwezig	odsoten, zamišljen	0	1	0	0	0	0	0	1	0	0
odsutni	afwezige	manjkajoč	0	1	0	0	0	0	0	1	0	0
izostajanje	absenteïsme	izostajanje	0	1	0	0	0	0	0	0	0	0
apsint, pelinkovac	_	absint	0	0	0	0	0	0	0	0	0	0
apsolutan	absoluut	absoluten, popoln	1	0	0	0	0	0	0	0	0	0
oprost, odrješenje	absolutie, vergeving	odveza, odrešenje	1	0	0	0	0	0	1	0	0	1
upijen	geabsorbeerd	absorbiran	1	0	0	0	0	0	0	0	0	0
upijajući, apsorbiran	_	absorptiven, vpojen	0	0	0	0	0	0	0	0	0	0
upijajući, apsorbirajući	_	privlačen, zanimiv	0	0	0	0	0	0	0	0	0	0
upijanje, apsorpcija	_	vpijanje, absorpcija	0	0	0	0	0	0	0	0	0	0
suzdržavati se, apstinirati	_	vzdržati, odpovedati se	0	0	0	0	0	0	0	0	0	0
suzdržavanje	_	vzdržanost	0	0	0	0	0	0	0	0	0	0
apstinencija	_	abstinenca	0	0	0	0	0	0	0	0	0	0
apstraktan	_	abstrakten	0	0	0	0	0	0	0	0	0	0
apstrakcija	_	abstrakcija	0	0	0	0	0	0	0	0	0	0
apsurdno	absurd	absurden, nesmiseln	0	1	0	0	0	0	0	0	0	0
apsurd	absurditeit	absurd, nesmisel	0	1	0	0	0	0	0	0	0	0
obilje, izobilje	overvloed	obilje, obilica	1	1	0	1	1	0	1	0	0	1
obilan	overvloedig	obilen, bogat	1	0	0	0	0	0	1	0	0	0
zlostavljanje	misbruik	zloraba, mučenje, izkoriščati, zlorabiti, kršiti	0	1	1	0	1	1	0	1	0	0
uporište	_	opornica	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
užasan, katastrofalan	onpeilbaar	grozen, obupen	0	1	0	0	0	0	0	1	0	0
bezdan	afgrond, leegte	brezno	0	1	0	0	0	1	0	1	0	0
akademski	academische, academisch	akademski	1	0	0	0	0	0	0	0	0	1
akademija	academie	akademija	1	0	0	0	0	0	0	0	0	0
pristupiti	_	pristopiti	0	0	0	0	0	0	0	0	0	0
ubrzati	versnellen	pospešiti	0	0	0	1	0	0	0	0	0	0
ubrzanje	_	pospešek	0	0	0	0	0	0	0	0	0	0
naglasak	_	naglas	0	0	0	0	0	0	0	0	0	0
naglasiti	_	poudariti	0	0	0	0	0	0	0	0	0	0
prihvatiti	_	sprejeti	0	0	0	0	0	0	0	0	0	0
prihvatljiv	aanvaardbaar	sprejemljiv	1	0	0	0	0	0	0	0	0	0
prihvaćanje	aanvaarding	sprejem, prepričanje, privolitev, prenašanje	1	0	0	0	0	0	0	0	0	0
pristup	_	dostop, dostopiti	0	0	0	0	0	0	0	0	0	0
dostupan	beschikbaar, toegankelijk	dostopen	1	0	0	0	0	0	0	0	0	0
pristupanje, pridruživanje	_	nastop	0	0	0	0	0	0	0	0	0	0
dodatak	_	dodatek	0	0	0	0	0	0	0	0	0	0
nesreća	ongeval, ongeluk	nesreča, naključje	0	1	0	0	0	1	0	1	1	0
slučajan	per ongeluk, onopzettelijk	naključen, nezgoden	0	1	0	0	0	1	0	0	1	0
slučajno	per ongeluk, onopzettelijk	naključno	0	0	0	0	0	0	0	0	1	0
priznanje	accolade	priznanje, čast	1	0	0	1	0	0	1	0	1	1
smjestiti	_	nastaniti	0	0	0	0	0	0	0	0	0	0
